department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
CHEM,CHEM 309 s- and p-Block Elements: Chemistry and Applications,"Synthesis, structures, bonding and characterization of compounds of the s- and p-block elements. Industrial uses discussed include: hydrogen-based fuels, materials and high performance polymers.",Credits: 3,Pre-reqs:     CHEM 202.,null,,,,,,,,,,,,
AUDI,AUDI 585 Language Development Across the Lifespan,,Credits: 2,null,null,,,,,,,,,,,,
CPEN,CPEN 431 Design of Distributed Software Applications,"Communications, processes, naming, synchronization, consistency and replication, fault tolerance, object-based middleware, and security technologies for distributed applications.",Credits: 4,"Pre-reqs:     One of EECE 315, CPEN 331, CPSC 313 and one of EECE 210, CPEN 221, EECE 309, CPSC 210.","Co-reqs:      One of EECE 358, ELEC 331, CPSC 317.",,,,,,,,,,,,
MECH,MECH 481 Aerodynamics of Aircraft I,"Low speed aerodynamics of airfoils, wings, wind tunnels.",Credits: 3,Pre-reqs:     MECH 380.,null,,,,,,,,,,,,
EECE,EECE 573 Micro and Nano Fabrication Technologies,Review of principles and practices of rnicro/nano fabrication technologies. Material and process selection, IC fabrication, silicon micromachining, LIGA, micro-EDM, mechanical processing, nanostructuring. Applications to MEMS/NEMS and other emerging devices.,Credits: 3,null,null,,,,,,
APBI,APBI 328 Weed Science,"Importance, identification, dissemination and biology of weeds; preventive, cultural, biological and chemical methods of control.",Credits: 4,Equivalents:  BIOL 317,null,,,,,,,,,,,,
CHBE,CHBE 452 Environmental Process Design Project,Design and economic assessment of an environmental engineering process.,Credits: 6,"Pre-reqs:     All of CHBE 254, CHBE 344, CHBE 346, CHBE 351, CHBE 356, CHBE 373.",Co-reqs:      CHBE 459.,,,,,,,,,,,,
THTR,THTR 391B Rehearsal and Performance - REHEARS&PERFORM,Open only to  B.F.A. Acting students.,Credits: 3,"Pre-reqs:     All of THTR 271, THTR 272, THTR 273, THTR 274.",null,,,,,,,,,,,,
EOSC,EOSC 595E Directed Studies - DIRECTED STUDIES,,Credits: 6,null,null,,,,,,,,,,,,
LAW,LAW 324D Topics in International Law and Transactions - TPCS INTL LAW&TR,"Not offered each year, consult Faculty.",Credits: 3,null,null,,,,,,,,,,,,
CPEN,CPEN 400V Topics in Computer Engineering - RESRCH EXPRIENCE,Lectures or projects on subjects of current interest.,Credits: 1,null,null,,,,,,,,,,,,
GRSJ,GRSJ 301 Gender and Indigeneity in Canada,Gender and indigeneity in the documented histories and narrated lives of Indigenous people in Canada.,Credits: 3,"Pre-reqs:     All of GRSJ 101, GRSJ 102. (or third-year standing.)",null,,,,,,,,,,,,
GERM,GERM 339C Third-Year Honours Tutorial - 3 YR HON TUT,,Credits: 6,null,null,,,,,,,,,,,,
PHAR,PHAR 518 Diagnostic Imaging and Radiopharmaceuticals,"Radiation-related, optical, and other imaging methods (SPECT, PET, CT, MRI, microscopy, ultrasound) and their application in research.",Credits: 4,Course Description: The concepts of using imaging as a tool in research will be emphasized in several hands-on lab modules.,null,,,,,,,,,,,,
BOTA,BOTA 546F Topics in Botany - TOPICS IN BOTANY,,Credits: 3,null,null,,,,,,,,,,,,
HIST,HIST 421D Honours Tutorial - HONOURS TUTORIAL,,Credits: 6,null,null,,,,,,,,,,,,
MUSC,MUSC 323 History of Popular Music,"Major genres in popular music from 1920 to the present. Not for credit towards the B.Mus., the B.A. in Music, or minors in Music.",Credits: 3,null,null,,,,,,,,,,,,
ZOOL,ZOOL 649 Doctoral Dissertation,,Credits: 0,null,null,,,,,,,,,,,,
ENPH,ENPH 480 Engineering Physics Project III,An optional course for those students wishing to continue their project work beyond the development in ENPH 479.,Credits: 3,"Pre-reqs:     One of ENPH 479, APSC 479.",Equivalents:  APSC 480,,,,,,,,,,,,
PHYS,"PHYS 545 Anatomy, Physiology and Statistics for Medical Physicists",Restricted to graduate students in the M.Sc. (Medical Physics) Specialization.,Credits: 3,null,null,,,,,,,,,,,,
APSC,APSC 279 Engineering Materials Laboratory,"Atomic bonding; crystal structures and imperfections; properties of metals, ceramics, polymers, wood, concrete and fibre composite materials; selection of materials; corrosion; mechanical testing and heat treatment.",Credits: 1,Pre-reqs:     APSC 278.,Co-reqs:        (APSC 278 may be taken.),,,,,,,,,,,,
CIVL,CIVL 505 Seismic Response of Structures,"Response of structures to earthquakes; concept of ductility; development of seismic design codes. Hierarchy of analytical tools; quasi-static, modal, and nonlinear analyses. Modelling of structures. Soil-structure interaction.",Credits: 3,"If the course is full, please fill out the online course registration form available at the below web link http://www.civil.ubc.ca/webform/course-request-registration-form and submit it electronically.",null,,,,,,,,,,,,
ELEC,ELEC 202 Circuit Analysis II,Phasor analysis and AC three phase systems power, transfer functions, Bode plots, filters and resonance, Laplace transforms, transformers, two-port networks. First and second order circuits.,Credits: 4,"Pre-reqs:     All of PHYS 153, MATH 101 and one of EECE 251, EECE 263, ELEC 201, ELEC 203.","Co-reqs:      One of MATH 255, MATH 256, MATH 265.",,,,,,
EDST,EDST 514 Adult Education Program Planning Theory,,Credits: 3,null,null,,,,,,,,,,,,
CRWR,CRWR 206 Introduction to Writing for the Screen,"Techniques of and practice in creating, developing, and writing a screenplay. Manuscript submission is not required for admission.",Credits: 3,null,null,,,,,,,,,,,,
VISA,VISA 401A Advanced Open Studio - ADV OPEN STUDIO,Research-based studio with thematic or disciplinary focus.  Intended for senior Visual Art undergraduate students.,Credits: 3,"Pre-reqs:     Three of VISA 310, VISA 311, VISA 320, VISA 321, VISA 330, VISA 331, VISA 340, VISA 341, VISA 350, VISA 351, VISA 360, VISA 361, VISA 370, VISA 390.",null,,,,,,,,,,,,
COMM,COMM 672 Advanced Topics in Theoretical Corporate Finance,,Credits: 3,null,null,,,,,,,,,,,,
HIST,"HIST 319 Britain, 1945 to the Present","Survey of recent British history, with emphasis on de-colonization, emergence of the welfare state, new social movements and patterns of immigration, and Britain's changing relationship with Europe.",Credits: 3,null,null,,,,,,,,,,,,
PHAR,PHAR 323 Biophysical Pharmacy II,Applications of the physical chemical properties of drugs to non-oral drug delivery systems.,Credits: 3,"Pre-reqs:     All of PHAR 321, PHAR 322.",null,,,,,,,,,,,,
KIN,KIN 564 Psycho-Social Aspects of Physical Activity,Selected psycho-social considerations in sport: initial and continuing involvement in the competitive sport environment.,Credits: 3,null,null,,,,,,,,,,,,
